cps21_ResponseId,cps21_imp_iss,category
R_2OQ5kJ8KyhMekdQ,Le Québec,"National Unity, Quebec & Regional Issues"
R_2xGmWkuRUpnUQRm,Relance économique,"Economy, Jobs & Inflation"
R_2BnE9Xfibuhk68i,Senior care,Healthcare & Senior Care
R_1qVU4nDeaC1ophN,Environnement,Climate Change & Environment
R_11hfXEdEnNUiLaA,Indigenous relations,Indigenous Peoples & Reconciliation
R_SSLwZQtDM6668yB,Environment,Climate Change & Environment
R_3NwxS9JHR1uNxDn,Climate change,Climate Change & Environment
R_23TNThmL6sIz3uy,Health,Healthcare & Senior Care
R_3GuMJtR5xCE1feD,economy,"Economy, Jobs & Inflation"
R_2VpBg4hymxA6rFH,-99,No Opinion / Uncertain
R_2CKswPLvtd4WgjE,La vaccination obligatoire,COVID-19 Pandemic Response & Preparedness
R_1prtRjkAu6f6Eul,DO NOT VOTE FOR PM,"Government Leadership, Ethics & Accountability"
R_1hSHNz8uyKMfhQQ,"Taxes, Covid, Immigration","Economy, Jobs & Inflation"
R_2pJiWql5dLLCwrp,Covid procedures and the economy,COVID-19 Pandemic Response & Preparedness
R_bqmsVUvU6OWc73r,Fiscal Responsibility,"Economy, Jobs & Inflation"
R_1OpIuNDt2hAvXBk,Santé,Healthcare & Senior Care
R_WlBItGpYcq1FOxz,ENVIRONNEMENT,Climate Change & Environment
R_2TYkOQOTN3X4gzW,Economy,"Economy, Jobs & Inflation"
R_eF1ug7ilnN7xGSJ,Getting rid of tyrant leaders,"Government Leadership, Ethics & Accountability"
R_QcxCHyPubfFd4m5,Return to normalcy after covid-19,COVID-19 Pandemic Response & Preparedness
R_1rPohlRmxTeNqjG,Health care,Healthcare & Senior Care
R_ysbT8wv0L53qUtb,Climat,Climate Change & Environment
R_1gRvBZddWYSjza8,MONEY,"Economy, Jobs & Inflation"
R_tFLmEKQmtCPaT4Z,get rid of Trudeau,"Government Leadership, Ethics & Accountability"
R_2thg8H0NJgi1MaX,Jobs,"Economy, Jobs & Inflation"
R_3g6GGuejuglyy5g,putting Covid behind us and getting Canadian values back,COVID-19 Pandemic Response & Preparedness
R_2VDvDhp9ppBqW5q,Pipeline Construction,Climate Change & Environment
R_3qO0hPcOt3LtmlY,pandemic recovery,COVID-19 Pandemic Response & Preparedness
R_3qrhp66MdrYc9zn,Respect for constitutional rights and the illegal actions of government during the CCP pandemic,"Government Leadership, Ethics & Accountability"
R_1o7imHrEQnzFu0q,Climate change,Climate Change & Environment
R_12sf0Jm37EYhHLs,Helping muslims feel safe,"Law, Order & Public Safety"
R_1OpFL9h1b5mylpv,Environment,Climate Change & Environment
R_3HSsysPex5vWqD0,Lowering the cost of living,"Economy, Jobs & Inflation"
R_3NHRguLHepRWNu9,Les changements climatiques,Climate Change & Environment
R_DT3XqXdcXVdaepb,Seniors Care,Healthcare & Senior Care
R_BEtXvsLw2aLw253,Health care,Healthcare & Senior Care
R_1BMnG3reYPDxyVj,Le déficit financier,"Economy, Jobs & Inflation"
R_3n63rguvTVfcsWA,Long term debt and how we are going to pay it back,"Economy, Jobs & Inflation"
R_cNjVz4ca7ztpak9,L'environnement les changements climatiques,Climate Change & Environment
R_31ckhbSSMegvtym,Senior care,Healthcare & Senior Care
R_1hBbO9VBrHvnfQO,Healthcare,Healthcare & Senior Care
R_AMAdU6OTBrvUBKF,housing,Housing Affordability & Homelessness
R_T7nQydPf35i1utX,"non-antagonistic, non-imperialist foreign policy with other countries","Foreign Policy, Defence & International Relations"
R_3FOMEohqv1FG0aJ,Health care,Healthcare & Senior Care
R_qI2Ds9vckEpRSI9,La fin de la PCRE,"Economy, Jobs & Inflation"
R_AvUBPG5rVBYukSt,Covid,COVID-19 Pandemic Response & Preparedness
R_1CkLowLgbuhZOPv,The economy and jobs.,"Economy, Jobs & Inflation"
R_Wd2twxmLyLNRpzb,Taxes,"Economy, Jobs & Inflation"
R_3soZ32XDDlGW1z7,Chercher un bon administrateur pour le pays.,"Government Leadership, Ethics & Accountability"
R_1CHnVFpkEcpBSe2,Housing affordability,Housing Affordability & Homelessness
R_1f1LCHIvcfeQGqW,Election system,"Government Leadership, Ethics & Accountability"
R_2XjuVkUPrbdCYVP,"Survey Feedback:  Please include a progress bar so participants can see their progress.  Please increase the reward for the survey if there is no progress bar to reflect the inconvenience.housing crisis, ending first past the post, first nations reconsiliation, climate change",Housing Affordability & Homelessness
R_24ufSjHEwcjRWRT,Les valeurs canadiennes,"National Unity, Quebec & Regional Issues"
R_ZxacPcweEPIuEGR,Covid 19 management & economic recovery,COVID-19 Pandemic Response & Preparedness
R_1CjywXvkPwhACdb,Climate change,Climate Change & Environment
R_1LcUUN0jH1YHu31,Canadian health system,Healthcare & Senior Care
R_eXrz2Wq9xBOeiul,Choisir le bon premier ministre,"Government Leadership, Ethics & Accountability"
R_2saQS2vfv7I173M,deficit an debt,"Economy, Jobs & Inflation"
R_NWlZPJJVR1pDL33,housing availability and pricing,Housing Affordability & Homelessness
R_3lxGq08DH6PFdv0,Économie,"Economy, Jobs & Inflation"
R_1Hc90MH2wrxnZkV,Healthcare,Healthcare & Senior Care
R_12MszYTHACpHm08,COVID-19,COVID-19 Pandemic Response & Preparedness
R_233OLiAXwJ4vvPE,Économie,"Economy, Jobs & Inflation"
R_1MLguj00MH2eawo,Impôt,"Economy, Jobs & Inflation"
R_5tG5eXKvrH3FIZP,The truth.  Enough BS already.,"Government Leadership, Ethics & Accountability"
R_1pJRMuvfQIm3Gq3,Covid Recovery,COVID-19 Pandemic Response & Preparedness
R_1d6S9M9WKJp9C9n,Getting Trudeau out,"Government Leadership, Ethics & Accountability"
R_3HjYpA21wvVlqLD,Electoral reform,"Government Leadership, Ethics & Accountability"
R_3CJJdtv6c0YoN4o,Having a leader that actually cares for their people and country,"Government Leadership, Ethics & Accountability"
R_1Ff9LBXeCfiZjTb,Freedom rights,"Law, Order & Public Safety"
R_11hzyC6EI3oeur1,Healthcare,Healthcare & Senior Care
R_2wv6BZPuSZwJxo8,Education,"Social Programs, Education & Childcare"
R_1GHU3MjMpofSCkl,environment,Climate Change & Environment
R_1CvIoiNbzRWSkUq,Diversity and inclusion,Immigration & Multiculturalism
R_2uwUzmrnELKI4bQ,healthcare,Healthcare & Senior Care
R_Y2XKRN1YDSVmgX7,Get rid of catch and release,"Law, Order & Public Safety"
R_3jdmo7zkgR4Fqd7,climate change and environmental issues,Climate Change & Environment
R_XMniyKSZMmXqMRX,améliorer la qualité de vie des canadiens,"Social Programs, Education & Childcare"
R_2uPahKuRlCZZn8Z,Budget,"Economy, Jobs & Inflation"
R_2qBJQiSBZsOzSud,that we be led by elected officials that care for citizens not themselves,"Government Leadership, Ethics & Accountability"
R_w1adWDKONHJbTOx,Economic recovery,"Economy, Jobs & Inflation"
R_1puQDU5ROEE4xuw,The economy,"Economy, Jobs & Inflation"
R_3FRtgQbJCDJMr54,Économie,"Economy, Jobs & Inflation"
R_3g2fEGk4z9BJebU,COVID-19,COVID-19 Pandemic Response & Preparedness
R_1hBaeWcgo8eR2Vo,Affordability,"Economy, Jobs & Inflation"
R_3pfgTEbbklqdWsk,Lowering the deficit,"Economy, Jobs & Inflation"
R_3dQAiJKKhgY0f6I,Healthcare,Healthcare & Senior Care
R_2Veku0IW7Y1hPcm,National unity,"National Unity, Quebec & Regional Issues"
R_3nix5oG9CWtpy1k,housing,Housing Affordability & Homelessness
R_2RUJ5CNcoItbQcI,Le contrôle de la dette pour les générations futures,"Economy, Jobs & Inflation"
R_1iqG4qSn75pQHSN,Getting Trudeau out of office,"Government Leadership, Ethics & Accountability"
R_ONzbFsmC6kEgsZX,THAT CERB DOES NOT NEED TO BE REPAID,"Economy, Jobs & Inflation"
R_1CEJRHkhIoq52Eb,Environnement,Climate Change & Environment
R_1F8LnqyRXVFFuPC,Health care,Healthcare & Senior Care
R_6x6Pz96UV0Svx9n,economy,"Economy, Jobs & Inflation"
R_3lLYh1NY1XHD4wE,None,No Opinion / Uncertain
R_1QtQePsw0ZQgqw0,Taxes,"Economy, Jobs & Inflation"
R_AHDWxti7N6MXbxv,Identité,"National Unity, Quebec & Regional Issues"
R_27eE5PByKHRXWht,Environnement (climat),Climate Change & Environment
R_Yb2NJKwyNGMccaR,La situation Covid et sa gestion pan canadienne,COVID-19 Pandemic Response & Preparedness
R_cTQ0KbrDJuIk6Gd,Discrimination against indigenous people,Indigenous Peoples & Reconciliation
R_3qEVp5p6LZgnjd2,Our country’s financial future,"Economy, Jobs & Inflation"
R_3EMZGttQ7oaoptk,Climate change,Climate Change & Environment
R_3HYMFPS9mnkrWS6,healthcare,Healthcare & Senior Care
R_3fd6fpqBOGsNeHp,the health care system,Healthcare & Senior Care
R_1IfLh0VGmcQdYsH,climate change,Climate Change & Environment
R_3Es7VlnQlsnNLTd,I don’t know,No Opinion / Uncertain
R_2qxd5gxZTUpBBKG,Dealing with the pandemic (COVID),COVID-19 Pandemic Response & Preparedness
R_12xteUIHkmTqhwd,LA BONNE GESTION DE LA SANTÉ PUBLIQUE,Healthcare & Senior Care
R_3KrrDY9SXEhsMw1,Who to vote for,No Opinion / Uncertain
R_3RqK18TSsQD9KOm,I don't know,No Opinion / Uncertain
R_XjKS5zHOP8UsKqd,Having a competent government,"Government Leadership, Ethics & Accountability"
R_1Kvd0CzRQe0d57G,transition énergétique,Climate Change & Environment
R_zbX6fAb2ggkde5H,Relance economique,"Economy, Jobs & Inflation"
R_1lcbRVKN9YzfJV7,a plan to fight covid 19 and preparation for future pandemics,COVID-19 Pandemic Response & Preparedness
R_3oHNFn9xCSKEdmy,Environment,Climate Change & Environment
R_bORLU4bybRYpbWx,Debt,"Economy, Jobs & Inflation"
R_2txkZtF8TuEYPfo,How they will handle covid,COVID-19 Pandemic Response & Preparedness
R_p5l28LDnOQUexKV,Covid19,COVID-19 Pandemic Response & Preparedness
R_87HesT1wZJdJ8hH,Affordable housing,Housing Affordability & Homelessness
R_1LNJYAesEBCTq89,No comment,No Opinion / Uncertain
R_PGo6Tx2MPG3Q9WN,Getting rid of Justin Trudeau,"Government Leadership, Ethics & Accountability"
R_3hDVoXZ0ZNGm85j,deficit,"Economy, Jobs & Inflation"
R_1JPmoKTmWmIz6pk,Healthcare,Healthcare & Senior Care
R_2ScuhJpzbqx3211,Economy,"Economy, Jobs & Inflation"
R_RfQbp0sBe0sXXLX,Climate Change,Climate Change & Environment
R_3Oia7YS0SuFki59,L'environnement,Climate Change & Environment
R_cHkwX7o9l8y3o9r,Economy,"Economy, Jobs & Inflation"
R_3DdnBXJFRqh8vfQ,La Pandemie,COVID-19 Pandemic Response & Preparedness
R_tJPEqEsMGHxQ2MV,Se débarrasser de Trudeau,"Government Leadership, Ethics & Accountability"
R_1NlCC9fkYlX16rp,Racism human rights environment,Climate Change & Environment
R_D8jZ4EVlkHWfiIV,COVID,COVID-19 Pandemic Response & Preparedness
R_3gMLnF0BEa2HfxT,change,"Government Leadership, Ethics & Accountability"
R_2duQRaxmttl8P3y,the climate crisis,Climate Change & Environment
R_1iaLWaUbFrWyi8n,Addressing climate change,Climate Change & Environment
R_2AHlfcGb8NrWLpk,Climate emergency,Climate Change & Environment
R_12Lo4UOesjisat8,Homelessness,Housing Affordability & Homelessness
R_3hxy7EcX5oybvWU,Économie,"Economy, Jobs & Inflation"
R_DHqBSw3qZUl9acp,Keeping our democracy,"Government Leadership, Ethics & Accountability"
R_eWGTY1asaJCtO5r,Our country's debt!!!,"Economy, Jobs & Inflation"
R_3L1lZaUkIpAPEgD,avoir un gouvernement qui saura gérer le pays et non son égo,"Government Leadership, Ethics & Accountability"
R_yVkc69xQCtqnXA5,covid19,COVID-19 Pandemic Response & Preparedness
R_27O7foduPRwP4Yf,Reshaping Care for Older Adults,Healthcare & Senior Care
R_3MhexIeOnoeqlUf,Environment,Climate Change & Environment
R_3nVoRo2VUla5ON7,climate change,Climate Change & Environment
R_1CI8Fxvh0exDDON,la santé,Healthcare & Senior Care
R_3n94I5XEsWbevcC,La gestion de l'économie en temps de crise,"Economy, Jobs & Inflation"
R_1QMCdQARFteCQx4,Overcoming covid,COVID-19 Pandemic Response & Preparedness
R_10OEBmuK2Dhf7cR,La covid,COVID-19 Pandemic Response & Preparedness
R_bPLfJvpKOX2eEx3,Housing affordability,Housing Affordability & Homelessness
R_1mjT4f33zeJNlHc,Urgence Sanitaire,COVID-19 Pandemic Response & Preparedness
R_ZdvBtrFBGlhsAGB,CCB and support for the Middle Class,"Social Programs, Education & Childcare"
R_4VAPWiLOEKpdNSN,-99,No Opinion / Uncertain
R_1ewSJahkAjmNGOJ,Climate change,Climate Change & Environment
R_32WQKUd5qWtyiRK,senior citizen supports,Healthcare & Senior Care
R_1DqCtfGuEli68k8,National Defense Procurement,"Foreign Policy, Defence & International Relations"
R_21ngbcXw3I3M69y,La santé,Healthcare & Senior Care
R_da8aCGYxxL1kHip,-99,No Opinion / Uncertain
R_sogOfxLtZ6Xg7pn,Covid,COVID-19 Pandemic Response & Preparedness
R_1gSJC7Lg6HffPss,La sante,Healthcare & Senior Care
R_usuPbFQpyERXe7f,aucune idee,No Opinion / Uncertain
R_qFt5ZtX0FH3XPyN,Quality of Senior care facilities,Healthcare & Senior Care
R_9z6tbrNPuXLpoOJ,More money for people on disabilty,"Social Programs, Education & Childcare"
R_31LXnC5k3UrFAAG,Global warming,Climate Change & Environment
R_3JhnCpxicv947R8,Santé,Healthcare & Senior Care
R_0vzvp6VvFOy8LGF,L’environnement,Climate Change & Environment
R_u8v5HhuOgaSI9PP,Healthcare,Healthcare & Senior Care
R_2wKqjre77SwIzVg,Job security,"Economy, Jobs & Inflation"
R_1C2cRLpvfCx2wvw,Covid,COVID-19 Pandemic Response & Preparedness
R_3nOybctALR5bHhz,Government accountability,"Government Leadership, Ethics & Accountability"
R_2CfTSHBQaKzFZsd,Climate Change,Climate Change & Environment
R_WeTSHRDEO2tnCDf,Healthcare,Healthcare & Senior Care
R_UA8v7nDugvrXNzX,Recovering economic,"Economy, Jobs & Inflation"
R_3iW2nilHsibGmY1,Justin Trudeau's power grab,"Government Leadership, Ethics & Accountability"
R_3GE2A7GEV3HuNXu,Law & Order,"Law, Order & Public Safety"
R_O1hFW9y38rKG0bn,Économie,"Economy, Jobs & Inflation"
R_bf4rNYsbzqSOcuJ,nothing,No Opinion / Uncertain
R_1QKS6NGmUIFjN7f,climate change,Climate Change & Environment
R_3rHPxL3NreDtSs3,Pandemic response,COVID-19 Pandemic Response & Preparedness
R_3rZZmerS63iL4zL,SENIOR CARE,Healthcare & Senior Care
