cps21_ResponseId,cps21_imp_iss,Q_Language,cps21_imp_iss_tr
R_001Vw6R3CxCzbcR,La dette,FR-CA,Debt
R_00AJoGE6B8Xifwl,Environmentalism,EN,Environmentalism
R_00QYXuUFwGAZLgZ,Access to education and jobs,EN,Access to education and jobs
R_00Wyqmxv6ek6e3L,COVID-19,EN,COVID-19
R_00dscjzlw5eIgEx,Racisme systemique,FR-CA,Systemic racism
R_00nCP7AU1k5Xlkd,Transfert aux provinces - Sans ingérence du fédéral,FR-CA,Transfer to Provinces - Without Federal Interference
R_00uY5mK8nzhcsJb,Housing,EN,Housing
R_01APj969q0Rhhi9,Economie,FR-CA,Economy
R_01EsC9ZhQYMcMgN,L’économie,FR-CA,Economy
R_01ddVk3xg2MJN3r,Keeping Canada whole,EN,Keeping Canada whole
R_01hIp1wTl555aZX,basic human rights,EN,basic human rights
R_01xYFmq9BMsjsNX,Climate change,EN,Climate change
R_02HxtbY4iQWKRmp,"Getting rid of Trudeau, and his corrupt inner circle (PMO).",EN,"Getting rid of Trudeau, and his corrupt inner circle (PMO)."
R_02RFXp5z3pRgn0B, to much Government in every aspect of life,EN, to much Government in every aspect of life
R_02gU1EmUxQ30jpD,"Living wage, reasonable support for people on social assistance(Overlooked/ignored during Covid-19), affordable housing!",EN,"Living wage, reasonable support for people on social assistance(Overlooked/ignored during Covid-19), affordable housing!"
R_02gVjbZsEtj5Ytj,Augmenter les prestations de retraite des aînés.,FR-CA,Increase seniors' pension benefits.
R_02l2uNmaMR1M0iB,Environnement,FR-CA,Environment
R_02sSSomESv8daY9,Housing,EN,Housing
R_03pfJLQDaCbg6kh,Childcare,EN,Childcare
R_03qNh7XwTyQYrpn,Rééquilibrer les finances sans compromettre les services aux citoyens,FR-CA,Rebalancing finances without compromising services to citizens
R_03s5SOr9Azv5129,Djdjdjdbenebe ebejbdbdjd jdbdbd,FR-CA,Djdjdjdbenebe ebejbdbdjdjdbdjdbd
R_03u27diAQilKGWt,climate change,EN,climate change
R_03wtI1Rw54jurx7,L’économie,FR-CA,Economy
R_064UMYqHbR0RBol,Environment and seniors,EN,Environment and seniors
R_0677AqafqBZcZMd,Affordable housing,EN,Affordable housing
R_06PQyJQU6EHWITf,Pension reform,EN,Pension reform
R_06Yi8jsHEf1Tst3,Healthcare,EN,Healthcare
R_06zccTmf5OymWU9,Santé et economie,FR-CA,Health and economics
R_07DkJ1UE76QYSOt,Indigenous rights and reconciliation,EN,Indigenous rights and reconciliation
R_07EguYkhx3qUELL,Getting through the pandemic,EN,Getting through the pandemic
R_07GmUARl3wMrwzf,Housing,EN,Housing
R_07XswAjsfwughW1,sante,FR-CA,health
R_07bDLOp9HDA88c9,Protecting women’s reproductive rights,EN,Protecting women’s reproductive rights
