cps21_ResponseId,cps21_imp_iss,Q_Language
R_001Vw6R3CxCzbcR,La dette,FR-CA
R_00AJoGE6B8Xifwl,Environmentalism,EN
R_00QYXuUFwGAZLgZ,Access to education and jobs,EN
R_00Wyqmxv6ek6e3L,COVID-19,EN
R_00dscjzlw5eIgEx,Racisme systemique,FR-CA
R_00nCP7AU1k5Xlkd,Transfert aux provinces - Sans ingérence du fédéral,FR-CA
R_00uY5mK8nzhcsJb,Housing,EN
R_01APj969q0Rhhi9,Economie,FR-CA
R_01EsC9ZhQYMcMgN,L’économie,FR-CA
R_01ddVk3xg2MJN3r,Keeping Canada whole,EN
R_01hIp1wTl555aZX,basic human rights,EN
R_01xYFmq9BMsjsNX,Climate change,EN
R_02HxtbY4iQWKRmp,"Getting rid of Trudeau, and his corrupt inner circle (PMO).",EN
R_02RFXp5z3pRgn0B, to much Government in every aspect of life,EN
R_02gU1EmUxQ30jpD,"Living wage, reasonable support for people on social assistance(Overlooked/ignored during Covid-19), affordable housing!",EN
R_02gVjbZsEtj5Ytj,Augmenter les prestations de retraite des aînés.,FR-CA
R_02l2uNmaMR1M0iB,Environnement,FR-CA
R_02sSSomESv8daY9,Housing,EN
R_03pfJLQDaCbg6kh,Childcare,EN
R_03qNh7XwTyQYrpn,Rééquilibrer les finances sans compromettre les services aux citoyens,FR-CA
R_03s5SOr9Azv5129,Djdjdjdbenebe ebejbdbdjd jdbdbd,FR-CA
R_03u27diAQilKGWt,climate change,EN
R_03wtI1Rw54jurx7,L’économie,FR-CA
R_064UMYqHbR0RBol,Environment and seniors,EN
R_0677AqafqBZcZMd,Affordable housing,EN
R_06PQyJQU6EHWITf,Pension reform,EN
R_06Yi8jsHEf1Tst3,Healthcare,EN
R_06zccTmf5OymWU9,Santé et economie,FR-CA
R_07DkJ1UE76QYSOt,Indigenous rights and reconciliation,EN
R_07EguYkhx3qUELL,Getting through the pandemic,EN
R_07GmUARl3wMrwzf,Housing,EN
R_07XswAjsfwughW1,sante,FR-CA
R_07bDLOp9HDA88c9,Protecting women’s reproductive rights,EN
R_07ldUhjGDHC7sLn,deficit,EN
R_087JA47HBDNNhUR,N/A,EN
R_087yrSRoNV4l76F,There are too many to just pick one,EN
R_08LrRm2fLZjO1Oh,Environment/Climate Change,EN
R_08O0qnVf4oEQqYx,this election should never have been call and hope the drama queen goes down,EN
R_08R0qzUO21YKIkV,Clean water for all Canadians,EN
R_08SP4Q9jlBObUI1,Aider les aînés intelligemment,FR-CA
R_08UvjRS2iZMnqVj,santé,FR-CA
R_08k3PgyPcWu0Xe1,indigenous services and reconciliation,EN
