cps21_ResponseId,cps21_imp_iss
R_2OQ5kJ8KyhMekdQ,Le Québec
R_2xGmWkuRUpnUQRm,Relance économique
R_2BnE9Xfibuhk68i,Senior care
R_1qVU4nDeaC1ophN,Environnement
R_11hfXEdEnNUiLaA,Indigenous relations
R_SSLwZQtDM6668yB,Environment
R_3NwxS9JHR1uNxDn,Climate change
R_23TNThmL6sIz3uy,Health
R_3GuMJtR5xCE1feD,economy
R_2VpBg4hymxA6rFH,-99
R_2CKswPLvtd4WgjE,La vaccination obligatoire
R_1prtRjkAu6f6Eul,DO NOT VOTE FOR PM
R_1hSHNz8uyKMfhQQ,"Taxes, Covid, Immigration"
R_2pJiWql5dLLCwrp,Covid procedures and the economy
R_bqmsVUvU6OWc73r,Fiscal Responsibility
R_1OpIuNDt2hAvXBk,Santé
R_WlBItGpYcq1FOxz,ENVIRONNEMENT
R_2TYkOQOTN3X4gzW,Economy
R_eF1ug7ilnN7xGSJ,Getting rid of tyrant leaders
R_QcxCHyPubfFd4m5,Return to normalcy after covid-19
R_1rPohlRmxTeNqjG,Health care
R_ysbT8wv0L53qUtb,Climat
R_1gRvBZddWYSjza8,MONEY
R_tFLmEKQmtCPaT4Z,get rid of Trudeau
R_2thg8H0NJgi1MaX,Jobs
R_3g6GGuejuglyy5g,putting Covid behind us and getting Canadian values back
R_2VDvDhp9ppBqW5q,Pipeline Construction
R_3qO0hPcOt3LtmlY,pandemic recovery
R_3qrhp66MdrYc9zn,Respect for constitutional rights and the illegal actions of government during the CCP pandemic
R_1o7imHrEQnzFu0q,Climate change
R_12sf0Jm37EYhHLs,Helping muslims feel safe
R_1OpFL9h1b5mylpv,Environment
R_3HSsysPex5vWqD0,Lowering the cost of living
R_3NHRguLHepRWNu9,Les changements climatiques
R_DT3XqXdcXVdaepb,Seniors Care
R_BEtXvsLw2aLw253,Health care
R_1BMnG3reYPDxyVj,Le déficit financier
R_3n63rguvTVfcsWA,Long term debt and how we are going to pay it back
R_cNjVz4ca7ztpak9,L'environnement les changements climatiques
R_31ckhbSSMegvtym,Senior care
