cps21_ResponseId,cps21_imp_iss,Q_Language
R_33pvNTuZAxmb9wt,"La santé, la scolarité, l'écologie",FR-CA
R_SUUMTpyp4sEfbGh,Immigration and housing,EN
R_1eKm7Ks3R4qLhKk,Rid the pandemic,EN
R_XTzhZeGAthQNY2J,Health care,EN
R_3JnjH39ISEU38DN,"The Economy, The Waste of Taxpayer Dollars and the way Alberta has been treated by the Federal Government",EN
R_PvqRML0bBh9KU7v,The pandemic,EN
R_2P0BevPvQEmRaST,Corruption and bias within government and business,EN
R_1luwg4per4Sr0Ux,Fiscal responsibility reduce debt,EN
R_2whQmOzssevL62k,Santé,FR-CA
R_1pnie2spCTXJQDh,Covid 19,EN
R_z8z4EOrPJSS1NKN,money,EN
R_3IWPump2M1VV2NR,Économie post pandémie,FR-CA
R_1hRT08pQYYpY5oQ,Vaccine Passports,EN
R_1QAAyMForAoMDET,Honesty,EN
R_3IT8kjCMW2preUJ,La protection de notre langue et de nos valeurs,FR-CA
R_3lYSVqei7hzBGUS,Mental health,EN
R_2CBu21apZy9vGHC,"The Liberal leader lying, not treating all Canadians equally, acting just like his father who put Canada in debt.",EN
R_Rai2aFcyNKBW2uB,health,EN
R_DBQJvdcDLnKevpn,TAXES,EN
R_2qecqKgcRsYQK2z,Environnement,FR-CA
R_2WTpj64tlvYzUi8,Getting covid out of here and having our lives back.,EN
R_2dvcPTdbYtudO52,Climate change,EN
R_22tVIxpQeNqmrbj,pandémie,FR-CA
R_1DXZWVTTKESDBPg,Vaccine mandates,EN
R_2b2IN8soLRmAsSx,Taking care of Canadians first and affordable living,EN
R_3R7r5jc1EZrYipF,Climate Change,EN
R_cN3Elv6Uzs5Ysud,Affordability,EN
R_ZIQKsQxpLsQ0HUR,l'environement,FR-CA
R_2zhCqaqOFeHFOTs,Cost of Living,EN
R_8BTmJ4FHTwnDnLX,-99,FR-CA
R_6Jqfta47WmwtY8V,dette,FR-CA
R_1IK67TRwY8xdehN,economic inequality,EN
R_25QKgeByXngsnZK,Gun control,EN
R_3GBAlWXhRXKHwqE,Health,EN
R_11ZqT1ItxbYUqQ9,Eradicating/controlling spread of Covid 19,EN
R_8cR9XspnyLfnZ8R,Changements climatiques,FR-CA
R_26g8jR2cDdYAtZb,Anti vaxxers,EN
R_3oGbGWDmCUs0xXN,environmental degradation,EN
R_3PRbgXlF9r77NhE,climate change,EN
R_29t38pgSqMDydL3,"Government leaders should work for their people and country, and not the interest or benefits that his/her party or himself/herself can get. The world is in danger. I believe that they know the ultimate reason for all these so called ""natural"" disasters, climate change, pandemic etc. is we, human beings, kill each other and kill massive animals. The bad bloody killing energy caused all these serious issues. So the government should lead people to go vegan.",EN
R_31MWtIfjPmpkIpq,gov't spending,EN
R_3RykBtWmqyuIRz0,Issues related to poverty,EN
R_2arEtPXfBGzdKZD,Economy,EN
R_3QLSvluHm2MEUkN,accounability,EN
R_0GSCYMxmIwP9bdT,Fin de la PCU le plus tôt possible et aussi l'environnement.,FR-CA
R_0vzvp6VvFOy8LGF,L’environnement,FR-CA
R_2YqYty7bXqOKJQX,Our freedoms being taken away,EN
R_sHZc0g16x4k0fdf,Getting liberals out.,EN
R_3Hv84DeoKOgxF8g,Covid-19,EN
R_3mmingyhzJF3nms,FREEDOM,EN
R_2TS0U6RuVmGhMdA,Don’t knoe,EN
R_2YPTj4RTH7FhcRb,L’environnement,FR-CA
R_2X4DW8XCtKlgK0e,Economy,EN
R_1zQvFRFDNcrKzCN,Pensions,EN
R_1kTxUOUfWinhHHm,Santé,FR-CA
R_31gzEcISNXpMBVU,Relance économique,FR-CA
R_ByAjFtPl8Vddhe1,Environment,EN
R_2EmxWZShuBL3zL0,Debt,EN
R_1F3Wxkhlq6dtLnI,Crime and Poverty,EN
R_6zECcSGNa6mC87L,Seniors,EN
R_2BxGN9MVyBnbeK0,Getting Liberal government re-elected,EN
R_DGfAmWK56AcVmHT,Sante,FR-CA
R_1jUn8gJNBr6O6EK,Le pouvoir,FR-CA
R_0Sz2c9hQaUxK4OB,Gestion des armes a feu,FR-CA
R_OmcgqH97iYR4dPP,LE DÉFICIT,FR-CA
R_3QXeyLOka3K45bS,environment,EN
R_3g4MFpjHCwIHnuD,Economic Recovery,EN
R_4I7kAPcE8fUgAUN,finance,FR-CA
R_1IB39TUa7OSGCWA,n/a,EN
R_2VQpRsOWQGmlYXq,Environnement,FR-CA
R_CeT7nXmWLiWDjWN,ending covid restrictions,EN
R_vHaFBnaj587qBLr,"Housing market, vaccines",EN
R_3e4UKejUYLYDcyY,Economy,EN
R_3gYHFykV5dFfi8h,Covid passport requirements,EN
R_xf0ztytp4L1Mubv,Dunno,EN
R_122MUOl58gJi8ya,Handling pandemic,EN
R_1rDfd0S6lwC8Oku,Income,EN
R_1jvxbpNLNqKa32H,BNOT SURE,EN
R_bHlTGMxcY3sHK6Z,pandémie,FR-CA
R_sz1sXYiYx26PORb,economie,FR-CA
R_2SHqzhmgBZCllu5,Economy,EN
R_1P1WC0x2yC2XjKi,Environmental,EN
R_eSbiHKr7LGxPXW1,health care,EN
R_2ttbJFnAOTYnyHx,TO GET THE ECONOMY BACK TO SOMEWHAT NORMAL,EN
R_sul9V30skw9VrKp,Environment,FR-CA
R_3fZfRmSqvpIIMxL,affordable housing,EN
R_ZlU1I2DXf91p4B3,I find political parties focus on telling us what the other one did wrong rather than focusing on what they are planning to do.,EN
R_27CfEngsHakwDYW,Covid,EN
R_DT3XqXdcXVdaepb,Seniors Care,EN
R_297hIrQoTxEVl47,"i do not agree with the prevalence of individual rights over the rights of the  community, which all the parties protect",EN
R_2Vl7ocq4pB0rhVH,Corruption,EN
R_3lJlkeqexdcq5AK,Healthcare,EN
R_e4o9xnQYFjVz7sR,health,EN
R_elL9oyyESoxrCFP,Covid 19,EN
R_2lAPBq01ZAck58d,Health care,EN
R_214Hp3Qpq8M2OCy,Health Care,EN
R_0BTtu8U4z6BSHlf,Trudeau and his move left: banning freedom of speech and lack of understanding of monetary policy and its impact on the economy. Immigration policy to broad - should have a merit system so we get people that will contribute to the economy and not be permanent leeches. Care more about disadvantaged Canadians and less about so called refugees who's cultures are not in sinc with ours Climate change  agenda and Paris CC costing us too much..,EN
R_1IGzXFP1BQjfGbm,How can someone pick just one? That’s unrealistic.,EN
R_yHGlZPpaTEAhhjr,Système de la santé,FR-CA
R_AEZ90RMeCUG98Pv,Canadian’s freedoms - ie ability to make own health decisions,EN
R_72tK9YVakyMu5LH, climate change,EN
R_RWEaYw6z3ykeNwt,Inequality in the society,EN
R_3exLa7L46H9zkCY,Getting more pipelines,EN
R_3MPA3BsAHRm9EMq,taxes,EN
R_a5nfidGmM59ZE3f,Changer de premier ministre,FR-CA
R_1CI12JhDrky3cYq,Economic recovery,EN
R_V42QSdy2GiB8609,Disabled Benefits,EN
R_1r6RpIcY90Xas1P,Immigration,EN
R_10vCciqaW0H45gi,la souveraineté,FR-CA
R_WvMCHMn4JMhYfAd,Our debt as a country and spending that is out of control.,EN
R_V3jiOimRLQsDbNv,Accountability in our government,EN
R_NW13lomivvpadxv,L'environnement,FR-CA
R_yWq3SZF9Kfw2GQx,Health care,EN
R_1JKDm33oCh2SHKY,Economy,EN
R_21gfy7PLHkaplST,Cost of living,EN
R_3EZjU5QTiGm6Tlb,Réduction du déficit,FR-CA
R_33jUZ8cAAnMlAys,Truth,EN
R_5w05QjzdUynvs5j,Getting a smart leader who isn't totally corrupt,EN
R_2fquUJV7itYeOUT,Environment and government intrusion,EN
R_20VBSNRWNYesuAd,Santé,FR-CA
R_2Ezu6flVCwiPR6c,LA santé,FR-CA
R_31gztVWwu5OS5MP,Taxes,EN
R_1Hq3vx3WV1lPhgy,immigration and refuges-  there are enough people in Canada.,EN
R_ZJJWSyk1YlvuZQ5,Economy,EN
R_3D7sgcPAlOD0DbK,Environnement,FR-CA
R_1kUOUDZeKu5JXKI,Affordable housing,EN
R_1GBwLORclackbsQ,finacial responsibility,EN
R_3KPhFmCgVlyoUoI,too many,EN
R_yKD8W110Lwbre6J,Housing prices,EN
