cps21_ResponseId,cps21_imp_iss
R_2AM5uFs3T3UR5Md,environment
R_3pbX2IBVWIl42jD,Environnement
R_1E4j55D7vY4E1xa,Getting rid of Trudeau
R_1C7O44mih4XvtJi,senior's care
R_1MTpCJficKrWc0x,seniors
R_2AYIXu6QMxdGzY5,Environment and Climate
R_1jK9YFagR0g9U70,COVID-19 Measures & Support
R_28ZmctXiC7maueL,climate change
R_1pAV1Vh6kdFtA36,Reconciliation
R_1fdQzW4b1ohUiQK,Recovering from issues related to the pandemic
R_2xRh4Ytv85r2gPc,GET SPENDING UNDER CONTROL
R_3D1lMlXgnr1HW2C,leadership
R_yF9VjTWlQQh69Tr,Taxing the ultra wealthy
R_2UauwHpGRVYq6DW,Santé et reconnaissance de la langue française
R_cRMWPcJU5cmalON,nothing in particular
R_2wKVGVOgtkU6sq8,Le climat
R_bkdgoeAb4IPO47f,Environnement
R_dhalZAHBwKzSqfD,Environnement
R_2CHzWWM4ofWOws1,financial security
R_1kS0MwiP1gwnGyy,firing trudeau
R_1BRGbnAq4Ra4TVx,Not applicable
R_3iwpXieTi0PRiTC,covid management
R_2Vfk2xYJixSwyJu,taxation
R_bsy5VtkfZAtO6EF,helping the working class people
R_2rCRXL2cp8Lu7rv,COVID-19
R_vZFcZyuaazeTQul,The environment
R_2qmT3inMEW4Mp5t,Dealing with covid
R_2eWDCR2DvKDUM39,Santé
R_21dFVeND78qB6oY,The economy
R_2anr23L6ECM9INR,Wasteful election that is NOT needed
R_pyercpR9XdfTwtj,Le budget
R_3oNixzgVUt8IkNq,Leadership
R_269ZK25S2TU1OGY,Honesty
R_1N3zXofcqB31sZX,government transparency
R_1g0gBVUPgo3h8M5,Reprise économique
R_21olPfZkUI8NpiN,"La santé, l’éducation et l’économie"
R_2CV6hQA8AHNVS7w,environmental issues
R_vk9BpeGs1dxzT45,Debt
R_0BNTMGVRLjKpJbr,COVID-19
R_3E9zfDr8XpZpNgk,covid management
R_PNk4OPbg4nMeUsp,health care
R_3rVtS5J5uVWWeaB,leadership
R_1hWr51WGKPYPbpw,climat
R_vHvqsh96dVXdUOd,Environnement
R_1CftlgQYwMPb5TP,Not sure
R_tFKxfDcy3e5vLTb,Mandatory vaccinations
R_31maF5vWKIiTC0T,Pandemic
R_1i531UMRgv9tj1H,"Housing prices, education and my freedoms"
R_2cdvQryHkNnw2d7,Gérer la COVID-19
R_TtrFkpy5BPpOOGt,healthcare
R_2BqwD9nfoM3hE2k,climate change
R_cZlpI54L3NMTeEx,L'environnement
R_2Xh5wZavdUlZq76,Equality
R_2ci9FXNK6PJ5c3G,Environment
R_27CIt2iIET3UDNs,Honesty
R_3JgUJ04pEUAbuhN,L'emploi et l'environnement
