cps21_ResponseId,cps21_imp_iss,category
R_ZJJWSyk1YlvuZQ5,Economy,Economy
R_3D7sgcPAlOD0DbK,Environnement,Environment
R_1kUOUDZeKu5JXKI,Affordable housing,Housing Affordability
R_1GBwLORclackbsQ,finacial responsibility,Debt
R_3KPhFmCgVlyoUoI,too many,Uncertainty/Other
R_yKD8W110Lwbre6J,Housing prices,Housing Affordability
R_28BqfPqwDWMmk2M,changements climatiques,Climate Change
R_2eR44KjTE1WPVpD,Debt,Debt
R_yK1ambJxzARAe1b,THAT THE PERSON THAT I VOTED FOR IS FOR THE LOW INCOME FAMILIES.,Social Welfare
R_wTznmBbtvoAEgJb,Reopening the economy,Economy
R_1IvkKbO5y3TPJNB,Covid 19 restrictions,COVID-19 Impact
R_1DzC65i8Pe24doa,Climat,Climate Change
R_RyN4OOw6xVM2fK1,Covid,COVID-19 Impact
R_PU9mVq09ws6Amo9,Économie,Economy
R_1lovX9DuUzZk1L1,l'économie (pénurie de main-d'oeuvre),Economy
R_2t9bqlK0vhNFiBl,Économie,Economy
R_5jaJxzR7hhIPCBr,Sortir le partit au pouvoir,Political Change
R_3hlRTbWyMYzPYk4,Minimum wages peovincially,Housing Affordability
R_dnXVh7zvltCgJYR,"recovery from COVID, economically and from a public health perspective",Economy
R_1PUxKAr8iID8wSo,Relance économique après covid-19,Economy
