cps21_ResponseId,cps21_imp_iss,category
R_2OQ5kJ8KyhMekdQ,Le Québec,Don't Know/Uncertain
R_2xGmWkuRUpnUQRm,Relance économique,Economy/Jobs
R_2BnE9Xfibuhk68i,Senior care,Seniors Care
R_1qVU4nDeaC1ophN,Environnement,Climate Change
R_11hfXEdEnNUiLaA,Indigenous relations,Indigenous Relations
R_SSLwZQtDM6668yB,Environment,Climate Change
R_3NwxS9JHR1uNxDn,Climate change,Climate Change
R_23TNThmL6sIz3uy,Health,Healthcare
R_3GuMJtR5xCE1feD,economy,Economy/Jobs
R_2VpBg4hymxA6rFH,-99,Don't Know/Uncertain
R_2CKswPLvtd4WgjE,La vaccination obligatoire,COVID-19
R_1prtRjkAu6f6Eul,DO NOT VOTE FOR PM,Government/Leadership
R_1hSHNz8uyKMfhQQ,"Taxes, Covid, Immigration",Immigration
R_2pJiWql5dLLCwrp,Covid procedures and the economy,COVID-19
R_bqmsVUvU6OWc73r,Fiscal Responsibility,Debt/Finance
R_1OpIuNDt2hAvXBk,Santé,Healthcare
R_WlBItGpYcq1FOxz,ENVIRONNEMENT,Climate Change
R_2TYkOQOTN3X4gzW,Economy,Economy/Jobs
R_eF1ug7ilnN7xGSJ,Getting rid of tyrant leaders,Government/Leadership
R_QcxCHyPubfFd4m5,Return to normalcy after covid-19,COVID-19
R_1rPohlRmxTeNqjG,Health care,Healthcare
R_ysbT8wv0L53qUtb,Climat,Climate Change
R_1gRvBZddWYSjza8,MONEY,Debt/Finance
R_tFLmEKQmtCPaT4Z,get rid of Trudeau,Government/Leadership
R_2thg8H0NJgi1MaX,Jobs,Economy/Jobs
R_3g6GGuejuglyy5g,putting Covid behind us and getting Canadian values back,Social Issues/Values
R_2VDvDhp9ppBqW5q,Pipeline Construction,Economy/Jobs
R_3qO0hPcOt3LtmlY,pandemic recovery,COVID-19
R_3qrhp66MdrYc9zn,Respect for constitutional rights and the illegal actions of government during the CCP pandemic,Government/Leadership
R_1o7imHrEQnzFu0q,Climate change,Climate Change
R_12sf0Jm37EYhHLs,Helping muslims feel safe,Social Issues/Values
R_1OpFL9h1b5mylpv,Environment,Climate Change
R_3HSsysPex5vWqD0,Lowering the cost of living,Cost of Living
R_3NHRguLHepRWNu9,Les changements climatiques,Climate Change
