cps21_ResponseId,cps21_imp_iss,category
R_2OQ5kJ8KyhMekdQ,Le Québec,National Unity and Federalism
R_2xGmWkuRUpnUQRm,Relance économique,Economy and Jobs
R_2BnE9Xfibuhk68i,Senior care,Healthcare and Senior Care
R_1qVU4nDeaC1ophN,Environnement,Climate Change and Environment
R_11hfXEdEnNUiLaA,Indigenous relations,Indigenous and Minority Issues
R_SSLwZQtDM6668yB,Environment,Climate Change and Environment
R_3NwxS9JHR1uNxDn,Climate change,Climate Change and Environment
R_23TNThmL6sIz3uy,Health,Healthcare and Senior Care
R_3GuMJtR5xCE1feD,economy,Economy and Jobs
R_2VpBg4hymxA6rFH,-99,Don't know or Uncertain
R_2CKswPLvtd4WgjE,La vaccination obligatoire,COVID-19 Pandemic and Recovery
R_1prtRjkAu6f6Eul,DO NOT VOTE FOR PM,Leadership and Government Accountability
R_1hSHNz8uyKMfhQQ,"Taxes, Covid, Immigration",Economy and Jobs
R_2pJiWql5dLLCwrp,Covid procedures and the economy,COVID-19 Pandemic and Recovery
R_bqmsVUvU6OWc73r,Fiscal Responsibility,Deficit and Fiscal Responsibility
R_1OpIuNDt2hAvXBk,Santé,Healthcare and Senior Care
R_WlBItGpYcq1FOxz,ENVIRONNEMENT,Climate Change and Environment
R_2TYkOQOTN3X4gzW,Economy,Economy and Jobs
R_eF1ug7ilnN7xGSJ,Getting rid of tyrant leaders,Leadership and Government Accountability
R_QcxCHyPubfFd4m5,Return to normalcy after covid-19,COVID-19 Pandemic and Recovery
R_1rPohlRmxTeNqjG,Health care,Healthcare and Senior Care
R_ysbT8wv0L53qUtb,Climat,Climate Change and Environment
R_1gRvBZddWYSjza8,MONEY,Economy and Jobs
R_tFLmEKQmtCPaT4Z,get rid of Trudeau,Leadership and Government Accountability
R_2thg8H0NJgi1MaX,Jobs,Economy and Jobs
R_3g6GGuejuglyy5g,putting Covid behind us and getting Canadian values back,COVID-19 Pandemic and Recovery
R_2VDvDhp9ppBqW5q,Pipeline Construction,Climate Change and Environment
R_3qO0hPcOt3LtmlY,pandemic recovery,COVID-19 Pandemic and Recovery
R_3qrhp66MdrYc9zn,Respect for constitutional rights and the illegal actions of government during the CCP pandemic,Leadership and Government Accountability
R_1o7imHrEQnzFu0q,Climate change,Climate Change and Environment
R_12sf0Jm37EYhHLs,Helping muslims feel safe,Indigenous and Minority Issues
R_1OpFL9h1b5mylpv,Environment,Climate Change and Environment
R_3HSsysPex5vWqD0,Lowering the cost of living,Economy and Jobs
R_3NHRguLHepRWNu9,Les changements climatiques,Climate Change and Environment
R_DT3XqXdcXVdaepb,Seniors Care,Healthcare and Senior Care
R_BEtXvsLw2aLw253,Health care,Healthcare and Senior Care
R_1BMnG3reYPDxyVj,Le déficit financier,Deficit and Fiscal Responsibility
R_3n63rguvTVfcsWA,Long term debt and how we are going to pay it back,Deficit and Fiscal Responsibility
R_cNjVz4ca7ztpak9,L'environnement les changements climatiques,Climate Change and Environment
R_31ckhbSSMegvtym,Senior care,Healthcare and Senior Care
R_1hBbO9VBrHvnfQO,Healthcare,Healthcare and Senior Care
R_AMAdU6OTBrvUBKF,housing,Housing Affordability
