UniqueID,open
ID00058452,I don&#8217;t trust the government they will do whatever it takes to stay in power
ID00253046,Je ne sais pas.
ID00326423,Our electoral system should be changed so that you vote for the leader and representatives you want and majority wins. Popular vote should count so that your vote counts. We should have more third parties with a real chance to win and influence. Tired of
ID00475160,"The Conservatives will win this next election becuase the Liberals dropped the ball. The Conservatives will fail and 8 years or less from now, Liberals will be back. It is more of a same shit different pile now. We need a NEW government party, we need re"
ID00630990,I don&#8217;t know enough on the topic to have an informed opinion.
ID00910905,too much foreign interference
ID01043549,Il y a toujours une certaine influence exercée sur une partie de la population
ID01181839,"It will be free, but it won&#8217;t be fair as half the country&#8217;s citizens live in two provinces."
ID01779865,I don't follow politicians
ID01880239,First past the post is outdated and doe snot make me feel like my vote counts. Need mixed member proportional representation to better reflect the values of all Canadians.
ID02074127,No trust in the system..
ID02215122,"With the election date potentially being moved for liberal gains, this makes me wonder what else."
ID02370934,Everyone will have their opinions and some will be upset
ID02651972,Les médias mainstream ont eu du financement gouvernemental du PLC et sont biaisés contre le PCC qui menace de définancer CBC/Radio-Canada
ID03064704,Proportional voting is not being done. Voice of people is not being heard.
ID03219664,Major issues: 1 Constant ongoing campaigning by Conservatives 2. Major media is all Conservative owned and controlled 3. Ballot tomfoolery - too many names on recent ballots
ID03242700,The same factors and conditions are present in the next Canadian federal election as in the American presidential election
ID03356708,La propagande des médias de masse et les immigrants
ID04542204,It&#8217;s a popularity contest and who runs each municipality best gets voted sadly we don&#8217;t get to vote on who we want to lead the country don&#8217;t will never be &#8220;free and fair&#8221;
ID04565825,"If Trudeau wins at this point, the election is obviously rigged; like last time."
ID04781172,Certain groupes feront des pressions sur d&#8217;autres groupes
ID05628890,"Cannot believe anything anyone says anymore, there is no more integrity and honor amongst political parties and mainstream media."
ID05847355,Because there is an emphasis to spin each issue to make the politician seem favourable rather than look at public record. And the media jumps on stories that should really not be published until they are vetted.
ID06298364,Le biais médiatique est la principale raison. Il est impossible que le choix soit éclairer quand les médias mentent impunement en faveur d'un candidat sur un autre.
ID06420631,The election ends in the east. The West view don't really count.
ID06695108,There is foreign interference and not much is being done to stop it
ID06774278,"Mainstream media (and the laws governing free speech online) is biased in favor of one side, they use lies , misrepresentation and government funds to sway popular opinion."
ID06818036,democracy is fake
ID07124071,I do not trust electronic voting or mail in voting as the potential is to great for them to be miscounted or manipulated
ID07308504,I feel the current federal government will find a way to delay or interfere with the next election
ID07657315,Because current PM is the most corrupt and unethical politician in our history and should not be allowed to hold office again. Should have resigned long ago.
ID07792008,Il promet ben des chose et respecte rien
ID07794092,Not enough people get out and vote. Not everyone's voice is heard.
ID07800244,the east will always make sure they win no matter what the cost is.
ID07837712,1. Foreign interference may be able to have too much of an influence 2. The mainstream media journalists in Canada lack the moral fortitude and may be too friendly with the government to ask the politicians the tough questions and reveal the hard truths
ID07850152,"There will always be devious people who look out for themselves first, before the good of the WHOLE country."
ID07934875,"Trudeau bought the media, greatly influencing election outcomes."
ID08721014,I fear non citizens will vote
ID08828796,Ther doesn't seem to be any honesty in government people have no say
ID09204871,"They want Trudeau to resign. I agree has high taxes and house crises, but he is a good for the country. I think the others can&#8217;t do better then that!"
ID09431580,"The last 3 were not fair, why would sparkly socks change"
ID09796297,"I believe the Canadian federal election system is an inherently unfair system giving more voting power to some over others. Compared to other democracies, I would say the Canadian elections are free compared to many others however."
ID10186245,"Elections Canada acknowledged that they didn't count 205,000 mail in ballots in the 2015 election."
ID10675186,To much lying is going on already.
ID11046759,Not much to say here as I don&#8217;t vote.
ID11186376,Other countries meddling
ID11239852,Many unseen influences.
ID11269998,Foreign government will try to interfere. Our system may catch it
ID11272520,"Politique Canadienne doit trop faire plaisir aux multinationales, les citoyens  ne compte pas ici."
ID11363294,Misinformation and foreign interference.
ID11520224,No
ID11713665,"Le parti quebecois sert a rien et ils sont là, c'est a rien comprendre"
ID11801635,Unknown if foreign interference will affect the results of one or more ridings like it did in the previous two elections.
ID12106819,je crois toujours qu'il a un peu de corruption dans les l'élection ainsi que notre système d'élection n'ai point représentatif de la population et qu'une réforme est GRANDEMENT requis pour une vrai représentation des votes dans ce pays/ province.
ID12181431,"Foreign interference, and influence."
ID12384472,"Because the winner is decided before it leaves to prairies, the seat are unfairly devided"
ID12757893,N/ a
ID12898958,"You have not defined &#8220;free&#8221; or &#8220;fair&#8221;.Therefore, I can&#8217;t agree or disagree."
ID13525840,I dont know. It will be my first Canadian election to experience.
ID13665342,I don't trust what they say and what they do is different.
ID14526135,I'm not sure
ID14643785,I think there is so much unmonitored misinformation that the results will not be as valid
ID15160255,The 1% is running the country
ID15441425,Promises can be made by one part but fulfilling it is a different story
ID15674493,I hope and trust that the next election will be free and fair but the trend is towards foreign interference and special interest groups unfairly influencing elections.
ID15683058,The PC party has been engaging in a LOT of disinformation. There is also the issue of corporate lobbying and donors. The biggest issue however is vote manipulation at the provincial level.
ID15704430,Foreign interference is my primary concern. The government and elections Canada are not committed to the problem.
ID15875486,"The way that canada's election is set up, if you live in certain areas, your vote counts. If you live everywhere else, it really doesn't matter, what you vote on, it's already been decided"
ID16074994,Whatever the people in Ontario decide in regards to politics is what happens. Western Canada should have the same amount of votes as Eastern Canada.
ID16082818,West has no say
ID16502617,The way the current system works with getting seats voted isn&#8217;t fair. The greater Toronto area has the most influential vote and the rest of Canada has to suffer accordingly. We should be able to vote for each category of government not just local.
ID17008174,Elles ne sont pas représentatives
ID17410440,"L&#8217;idéologie progressiste et multiculturaliste est trop hégémonique au Canada, car plus qu&#8217;ailleurs en Occident, elle a le monopole des médias, de l&#8217;industrie du divertissement, elle est très forte dans les écoles, universités et entrepr"
ID17447891,current conditions point to a split decision
ID17714239,Our current government is very corrupt. Trudeau will interfere
ID17719766,Je ne peux affirmer quoique ce soit.
ID17777078,Collusion between parties
ID18196852,Cela dépend de bien des facteurs.
ID18230242,"The conservatives always lie, And spread propaganda ."
ID18324771,Trudeau is withholding the names of the politicians who were/may have been compromised. We don't know who is compromised. Too many Liberal scandals...I don't trust them at all.
ID18397287,I don't know
ID18489807,Je pense à un autre sac de vote qui aura mystérieusement disparu
ID18651109,"When Ontario and Quebec hold so many seats, there is no fairness to the smaller provinces"
ID18814368,"The last election was not free and fair which has been proven in parliment - why would this one be any different, given that the Party currently in power is suffering badly in the polls."
ID18838190,I can't predict the future.
ID18878460,The media will skew everything to the NDP.   there's not proper representation of the provinces.
ID18922097,Na
ID19136913,In case there is foreign interference it won't be fair
ID19183064,"If Trudeau had it his way, it will be corrupt just as he is corrupt but his corruption is in the light so rigging the elections will not be easy but anything is possible with the Liberals."
ID19243575,The first past the post system is not fair. The majority vote does not necessarily win&#8230; this is not majority wins which by definition is not democracy.
ID19353310,Same reason I wrote for the US to a lesser extent
ID19478233,"Because none of the candidates represent the genuine interests of Canadian people. Things will only get worse, no matter who wins"
ID19557847,Never know what's going to happen
ID20141501,It's not as controversial
ID20226071,"The level of foreigners in Canada has reached a tipping point in key ridings. There is a deeply concerning amount of foreign interference, both in the state of our demographics as well as foreign states."
ID20358144,"The recent election in British Colombia shows oddities in the election process. it should not take more than a week to count votes, when a close race was shown, and a flood of mail in ballots appear in the last moment for the winning party."
ID20408598,Because Gauleiter Frank Graves won't allow it.
ID20604546,"Canada is like the other western countries,  corporations, WEF, UN and the cabal dictate outcomes."
ID20726394,I dont really know what the government is doing when it is election time
ID20924277,"Voter media literacy is poor and many politicians use that to their advantage, but I still hope fair elections will be held."
ID20939695,"There is a significant amount of corruption and bias towards left-wing ideology in the Western world. There will be unfairness in the election; whether that be intimidation, dishonesty, fraud, and any other means to have the Liberals win the election."
ID21154289,Eastern Canada has more weight than the west.
ID21187374,"I'm not convinced, we can trust the outcome of the next election is as reported; the Liberal government has deliberately lied too many times.  The carbon tax is a good example:  I pay way more than I get back in rebates"
ID21288279,"There is too much interference from CCP agents, Russian agents. The political Parties are too radical to the right or left of center. To much self interest in our leaders."
ID21432958,By the time the voting closes in Manitoba it has been decided. Ontario decides who gets in. The western provinces don't have much of a say.
ID21511210,I believe that many people will be influenced by negative media.
ID21607393,I think that the people in power do not want to lose power and will do anything with their influence to interfere and rig the election
ID21679780,I feel as though we are veering away from traditional Canadian matters
ID21862650,China has already interfered in our elections before. They will do it again and Trudeau will do nothing about it.
ID21898437,na
ID22181451,Because I feel that to many votes have been bought and that if the current government gets back in we're in trouble.
ID22193076,There will likely be foreign interference and the Liberals have failed to do anything about it or to identify the parliamentarians who have colluded with foreign governments.
ID22396937,Can't guarantee that there won't be foreign interference in our elections.
ID22677993,I believe they will attempt to cheat but will be overwhelmed by the wishes of Canadians who vote.
ID22959982,Multiple instances of possible foreign interference in recent years that had gone essentially unchecked.
ID22963696,i just do
ID23269048,Je n'ai pas droit de vote
ID23384468,I believe there is a degree of vote count fraud
ID23760982,Foreign Interference
ID23971548,I don&#8217; trust Trudeau he is so crooked I don&#8217;t know how he can get away with the thinks he is doing
ID24134487,I don't trust the Liberals.
ID24241417,"Too many Canadians feel pressured to vote in a way that ensures a party's defeat, rather than for the party we want to elect."
ID24527265,I strongly believe that the last two were done unfairly. LIBERALS will do anything criminal to get what they want.
ID24722593,Mainstream media biases lead to a misled and misinformed electorate. Chinese interference favouring the liberals and ndp.
ID24811191,"While we don&#8217;t have all the same issues as the US, there is overlap. Money influences the election, along with blatant lies. But mainly, the way we vote for PM is not fair so our system needs to be overhauled. PM should not be chosen by a party"
ID24868981,I am not sure
ID25264076,Trudeau will not let power go he is corrupt and a puppet of the UN and regimes they control.
ID25319326,I don&#8217;t think other countries care enough or take us seriously enough to interfere and direct the election one direction or another.
ID25487036,You Asking us to form an opinion on something that hasn&#8217;t even happened yet.
ID25528533,I just don&#8217;t believe the government is fair at all
ID25622001,Depending on what federal party people vote for will determine if the election is fair
ID26071834,"First past the post method is not fair. An elected official may not have the popular vote, yet wins the election due to the number of seats the party has during the election. This has happened in previous elections which discourage people from voting."
ID26365737,Lobbying and overly wealthy as well as large corporations holding great sway
ID26383434,The main steam media is one sided.
ID26555126,Je suis indécise quant à l&#8217;issue des prochaines élections. La tendance n&#8217;est pas rassurante.
ID26578237,The media companies lean left so they influence the general public in how they skew news coverage. There is an advantage from the current government that has supported the CBC and given a lot of money to these companies.
ID26594272,Car les grans média sont tous du même côtés et ne donne pas une information partiale.
ID26831088,"Because the last one wasn't. We no longer have a democracy, we have a Trudeau dictatorship."
ID26870682,We don&#8217;t have proportional representation
ID26892482,Almost all of our politicians are corrupt.
ID26953388,last election we had Chinese involved with the liberal party
ID27091735,Car je ne sais pas comment sa fonctionne ici
ID27121220,Free ? Who&#8217;s paying for it ? It can only be as fair as the people involved?
ID27206204,"All three primary candidates support the same agenda, no other parties get press coverage."
ID27498988,the state media will spin it as they are told
ID27869877,"They demographics that vote are able to make it to voting stations.. that doesn&#8217;t account for low income people who have no transportation or way&#8230; when you&#8217;re barely surviving, voting is the LAST thing on our minds. We are broke and str"
ID27892782,"I believe that proportionally, two provinces have far too much power and things do not turn out as the overall country needs."
ID28179807,"Because most people who follow politics don't respect the system or trust it, and they'll let their own beliefs ruin it and if they can corrupt it they will.  People who are into politics only care about their specific party, NOT the country as a whole."
ID28334326,over representation in Quebec
ID28357998,Unsure based on current news reports of foreign involvement
ID28358001,I have no information on what policies have been put in place to achieve the above so I cannot conclude yet. I will make more research and dig deeper
ID28596538,I do have a strong sense that the Canadian election is free and fair fair
ID29051505,I can not predict the future or election
ID29455192,"I can't say for sure; I'd like to think there are people and therefore strategies in place to keep things ""free and fair"", but that doesn't mean there isn't someone or something nefarious hiding behind the scenes that I/we don't know about. Nothing is ev"
ID29735102,To be fair we'd need a ranked ballot and proportional representation so people can vote for who they want and be represented.
ID29747119,"We already had international interference in the last one, and nothing was done to prevent it from happening again in the next."
ID29931966,Until we get rid of &#8220;first to cross the line wins&#8221;! It&#8217;s not fair for the west
ID30085274,"Le fonctionnement du scrutin lui même, nous devrions avoir un système de représentation proportionnelle"
ID30120828,"Until we get proportional representation, no election will be fair..."
ID30179387,Elections canada is Independent.
ID30277573,I'm not sure if there is going to be a fair count or not
ID30738779,The evidence of foreign interference in the 2021 election.
ID30795904,unsure who the next government will be.
ID30800760,"I don't trust the machines - they are too easily manipulated. I don't trust the parties in power, power corrupts and I don't believe that the everyman really matters anymore. But I will still vote, even if it feels useless. Because family fought in wars"
ID31666024,0
ID31701124,Too much influence from outside by others with money to influence the outcome.
ID31767369,Distrust for CPC and its dis/misinformation campaign.no trust of CPC Leader
ID32520074,"Canadian media, out side influence,"
ID32738673,Will be too much scrutiny for it not to be as it looks now
ID33415951,"a) It will be held under first past the post, which is an unfair and disproportionate electoral system. b) No election under capitalism can ever be fair because people have uneven access to power based on the amount of capital they have at their disposal"
ID33712064,N/A
ID33735259,"Because I have no idea if it will or not, I cannot see the future."
ID33981449,"FPTP, foreign interference, media and elite groupthink."
ID34314026,Perception d&#8217;une moins grande ingérence
ID34510746,You'll never fully know if it's true and fair. It'll be covered up regardless
ID34745716,"Because our current government and prime minister are the biggest bunch of crooks, liars and scumbags I've ever seen in my life"
ID34784362,There is corruption in our government and it trickles down the ranks and affects those beneath
ID34969296,"Tant que nous n'aurons pas un système proportionnel au Canada et dans les provinces, nos élections ne fonctionneront pas. C'est de la fausse démocratie!"
ID35077986,Because of the political unrest within the liberal party the areas of the country who have more ridings (eastern provinces) will be voting drastically differently than in previous years
ID35324366,Because of the interference that has already been seen and  not adressed
ID35472548,"what ever prime minister gets in, it there way, not our way,  we need them to listen."
ID35473174,"The Liberals, Trudeau is prone to dictator ship like ways and strong admiration to communist actions. He has already demonstrated tyrannical actions and spoken hatred words towards anyone who opposes and disagrees. Trudeau has shown by policies and gover"
ID36164935,Due to the influence of fundamentalist conservative views from south of the border
ID36566218,They have their own agenda.
ID36747824,The corrupt liberals will stop at nothing to maintain power and continue to nose dive this once beautiful country. Liberal social justice warriors will probably stop at nothing to make sure this country is run by a common sense bunch of people
ID37045786,"gt6According to our Religious beliefs, we do NOT get involved with anything political, in any way."
ID37100648,"Politions are liars ,,they Promis everything and don&#8217;t deliver , we had spies running for parliament and nothing happened and we don&#8217;t have one man one vote"
ID37332050,Je ne vote pas
ID37589417,"Prime Minister has habit of saying one thing before election, then does not do it&#8230;or does not mention an intention and as soon as election is over it becomes a cornerstone program.  And NDP cost nothing&#8230;believe in the money fairy.  Dubious of"
ID37711409,disproportionate<br> riding sizes
ID37743459,I believe the Canadian government should have electoral reform and a system of something like proportional representation would lead to governing bodies that would represent and serve Canadians in a more fair and representational manner.
ID38038069,"Nous ne vivons pas en démocratie. Donc les élections démocratiques sont une illusion. Les abstentionnistes comme moi ne sont jamais représentés. Et si je ne vote pas, c'est que je considère que l'entièreté du système est gangrené et que ce ne sont que de"
ID38226493,JT  CHEATED  EVERY TIME
ID38495054,"extortion, government interpherance by other countries ie china"
ID38587063,We should not be voting to elect a whole party some of us have to vote strategically in order for the person we don&#8217;t want to win
ID38749700,Trop de corruption
ID38823681,The current government subsidizes major media companies in Canada and they provide preferential coverage to government cause of that. They have the ability to tilt elections with their platforms and the arrangement is undemocratic
ID38856027,The liberal party will do everything they can to make sure they do not lose all their seats.
ID38949151,"The current government will use every available means to stay in power, bought media stations, Lies, hiding the truth and facts, silencing free speech"
ID39056203,I BELIEVE THAT WE ARE BEING MANIPULATED BY BIG BUSINESS INTERESTS WHICH HAVE NO ACCOUNTABILITY AS FAR AS THEIR NEGATIVE EFFECT ON THE GENERAL POPULATION
ID39188268,Media bias and corporate influence too many things for it to truly be free or fair
ID39308549,"Due to the high level of corruption plaguing the current government, it is likely that cheating and the manipulation of the news outlets they bribed with over 600,000,000 would be used to spread mis information as well as disinformation"
ID39339506,I don't know enough about Canadian election processes to have an informed opinion.
ID39360263,Le choix des candidats est du pareil au même.
ID39362654,i believe it will if i said differently i misunderstood
ID39382916,"It's basically either liberals vs conservatives. Ndp is 3rd follow with green, etc."
ID39505534,"Foreign interference immigrating liberal voters, media is paid by current govt"
ID39564992,because i don&#8217;t know
ID39576178,Just look at the issue of foreign interference
ID39789583,0
ID39942350,de nos jours tout est possible
ID40167452,Partiellement minées par les syndicats et autres associations sociales
ID40427220,Again. It&#8217;ll be two parties who only endeavour to enrich like 15 dudes.
ID40826066,I don&#8217;t trust our present leader as his is the most corrupt leader our country has had and still wants more
ID40884426,Will depend on how much the liberal funded media will protect the liberals or not.
ID41013687,"Tant que la représentation proportionnelle ne sera pas instaurée, une majorité de canadien ne sont pas représenté à la chambre des communes"
ID41186069,Je crois que certains électeurs votent par influence ou par ignorance
ID41225330,It is too far away and that gives the Liberals time to mess with electoral reform
ID41458026,Im an ignorant about this upcoming election but what I know is that the elections are white dominant and there&#8217;s no inclusion for young and diverse people which lead to awful elections
ID41467696,Because we're a year out. So I don't quite know what's going to happen
ID41517804,I believe that electronic ballots/electronic counting is more easily hacked
ID41673159,It will depend on who wins
ID42480914,Toute des mange marde
ID42488038,They announced who wins the election before all the votes are counted
ID42984201,"Idk it prob will be, just didnt feel strong about it"
ID43576594,"Les médias ne nuance pas les propos, (tout a la gauche)"
ID43845493,cant predict the future
ID44036808,I will only know once there is an election
ID44106468,Mail in votes could be fraud. Prefer proof ID
ID44456287,"When the vast majority of Cdns want a new govt, they feel powerless that Lib, NDP and Bloc are completely shutting them out.  Cdns no longer feel they have a voice in govt."
ID44678919,"Not a big fan of politics, however it's time for Justin Trudeau to step down."
ID44766839,There has been no transparency on the topic of foreign interference.
ID44968803,Too much one sided main stream media that is very left leaning. Concerned Canadians are very unfairly labeld right wing.
ID45065124,Most politicians are liars and the mainstream media has been corrupted by the Liberals
ID45150693,There seems to be too much foreign interference in our elections
ID45623502,Do not the trust the current Liberal Government to allow a fair election.
ID45698433,I am concerned about foreign interference.
ID45744351,"Je ne sais pas ce qui va se passer. Des déstabilisations (de l'interne ou de l'externe) pourraient influencer le processus ou le résultat. Ou alors, tout pourrait bien aller..."
ID45874697,Parce que notre choix est limité et de moins en moins représentatif de notre population. Ils sont souvent ignorant de la réalité de la caste moyenne.
ID45963200,"""Free and fair"" seems like pie-in-the-sky. Many unfair statements or attacks can be made and then appear in the news, social media, etc.  ""Free"" is not the case because elections cost a lot of taxpayer money."
ID46019538,"I am not sure what the survey means by free and fair, this could be referring to the logistics of the election or the entire electoral process."
ID46372400,because we also use the same voting machines devopeled by the canadian Govt. we need a system where it is a total independed count at each ballot station.
ID46427084,The media is bought and paid for by the liberals. Immediately imposing a bias. Trudeau critics are silenced online and often visited by law enforcement. Bank accounts frozen etc. This is fascist not democratic.
ID46625054,"None of the parties represent my actual interests, each one is corrupt and lies to advance their own agenda"
ID46662541,An echo of the previous answer. No electoral system is perfectly free from interest groups nor is it fair as a first past the post system is a popularity vote system that by definition marginalizes minority opinion for majority consensus.
ID46933922,foreign interference
ID46994888,I think elections in general arent the most fair and i dont believe we really have a choice.
ID47087458,Pierre Poilievre traffics in disinformation and chaos to sow division. Poilievre is untrustworthy and duplicitous.
ID47183149,Na
ID47207110,Because i never find voting 100%fair unsure if it is being done correct
ID47377371,Not informed enough. And leaning towards distrust.
ID47639369,When disabled or people that are disadvantaged to have childhood can not earn enough money and vonrable to be abused
ID47646504,It never is
ID48510755,I have heard that China influenced the last Election.
ID48737457,Other Countries interfere
ID48738457,Too much corruption in Ottawa
ID48803889,Nous avons un super menteur qui dit et déforme tout un gros pas de sens
ID48868868,Considering during the last federal election the opposition had more votes but because the Liberals had more seats due to smaller ridings the wrong party won. People have noticed the dispersement of immigrants throughout Canada by the Liberal Leader to a
ID48988183,"The last election was rigged, I have 0 faith in the system"
ID49237488,"The Liberals are so corrupt,  I would not believe that  they won the election freely."
ID49290953,Il y a encore beuacoup trop de mauvaises informations qui circule
ID49296357,"I believe trudeau and the liberals will do anything to hold on to power and by the way, Canada is NOT a democracy."
ID49303983,I have no way of knowing if it is really free and fair.
ID49309945,Beaucoup de misère a faire confiance à tout ça
ID49361416,I'm not aware of the candidates
ID50187271,"Canada is a democracy, but the archaic first-past-the-post electoral system distorts election results and bastardizes the principle of ""one person, one vote."""
ID50240524,"Governments in ""civilized"" societies are inherently corrupt and prone to multi-layered manipulation."
ID50724498,Too much influence from US Trumpism.
ID50893990,my faith in government institutions has been eroded in this last decade
